Mes,barcel,bimbo,bimbo acciones,bimbo,grupo bimbo,marinela,pan artesano bimbo,pan bimbo,pan brioche,pan hamburguesa bimbo,tia rosa
2015-01,50,16,11,39,62,25,0,26,10,0,32
2015-02,55,18,19,47,86,28,0,31,16,0,35
2015-03,58,18,14,46,81,31,0,33,13,0,40
2015-04,53,27,9,42,82,23,0,37,6,0,29
2015-05,48,0,15,43,70,63,0,36,12,0,31
2015-06,47,29,0,39,70,100,0,33,0,0,39
2015-07,46,25,0,39,62,47,0,32,7,0,33
2015-08,45,14,0,40,65,27,0,32,8,0,27
2015-09,52,18,15,54,79,26,0,39,14,0,31
2015-10,52,22,16,46,72,29,0,37,11,0,32
2015-11,47,20,10,42,68,27,0,38,11,0,34
2015-12,41,13,0,31,52,34,0,33,14,0,32
2016-01,71,17,7,37,61,27,0,28,9,0,29
2016-02,84,29,14,45,80,28,0,33,10,0,37
2016-03,62,15,13,40,74,28,0,31,11,0,35
2016-04,58,24,14,43,75,27,0,32,13,15,41
2016-05,54,16,14,41,68,25,0,32,9,0,39
2016-06,44,20,0,35,59,24,0,31,13,0,39
2016-07,41,22,0,30,54,23,0,32,12,0,36
2016-08,47,13,0,36,62,25,0,28,10,0,30
2016-09,52,15,19,47,69,25,0,30,7,0,51
2016-10,64,19,22,44,68,28,36,38,14,0,45
2016-11,55,14,23,42,68,29,34,33,8,0,49
2016-12,39,17,14,28,49,25,0,29,9,0,39
2017-01,55,19,13,39,65,25,0,29,9,0,40
2017-02,60,36,19,57,100,31,0,33,9,0,40
2017-03,67,26,17,50,78,28,0,37,22,0,41
2017-04,52,13,0,38,66,23,48,34,13,0,40
2017-05,51,25,15,42,75,20,33,33,12,0,38
2017-06,57,29,12,41,61,30,0,34,12,0,35
2017-07,58,20,10,36,61,32,36,33,15,0,34
2017-08,58,0,13,40,68,30,47,32,11,0,39
2017-09,55,25,12,44,72,26,43,33,10,0,38
2017-10,60,0,15,49,81,30,61,39,16,20,52
2017-11,54,26,20,45,65,28,44,33,11,0,46
2017-12,48,0,8,30,46,23,0,33,18,0,36
2018-01,50,27,11,40,69,23,0,33,14,0,42
2018-02,65,27,21,48,76,28,0,39,10,23,40
2018-03,61,34,10,45,64,30,33,41,12,0,39
2018-04,59,27,16,45,71,28,37,41,18,0,42
2018-05,53,36,18,44,69,26,37,38,14,25,45
2018-06,57,24,20,43,60,27,30,39,13,16,38
2018-07,51,51,14,41,61,29,0,38,16,0,39
2018-08,56,100,23,100,83,57,0,44,17,19,55
2018-09,53,50,17,54,63,28,47,41,18,25,44
2018-10,63,31,23,52,71,31,0,45,29,31,47
2018-11,58,29,27,47,60,26,35,41,31,38,45
2018-12,52,0,11,37,46,25,55,34,25,20,55
2019-01,59,30,8,41,57,24,42,41,24,32,44
2019-02,66,31,27,52,72,28,43,44,31,26,43
2019-03,71,22,20,50,66,27,35,44,23,26,45
2019-04,62,24,20,45,57,30,51,46,26,34,50
2019-05,59,21,25,49,59,30,0,44,22,28,44
2019-06,57,36,17,44,54,29,0,45,34,41,43
2019-07,72,50,26,44,54,29,0,48,34,22,51
2019-08,73,48,20,47,59,29,31,49,29,34,52
2019-09,70,45,23,54,72,30,0,45,24,23,50
2019-10,73,39,23,60,65,30,30,51,26,30,58
2019-11,71,34,21,49,60,30,33,46,29,20,56
2019-12,51,0,14,34,38,22,0,41,32,18,43
2020-01,67,62,19,48,60,28,34,50,31,32,46
2020-02,92,32,21,55,73,33,29,56,33,31,50
2020-03,78,50,36,78,65,30,52,57,40,31,49
2020-04,65,35,35,53,59,34,54,73,53,64,67
2020-05,65,26,26,50,63,37,43,78,65,68,60
2020-06,66,28,28,55,78,39,100,75,77,86,61
2020-07,76,38,33,54,70,37,83,80,80,100,72
2020-08,67,27,25,50,61,38,47,70,70,58,72
2020-09,60,19,27,48,54,34,0,63,58,57,61
2020-10,62,34,28,53,60,32,69,66,57,63,67
2020-11,66,26,33,46,54,35,46,59,55,53,62
2020-12,56,0,22,43,44,33,36,59,65,61,62
2021-01,71,27,29,49,56,36,49,71,66,72,70
2021-02,76,70,62,93,65,46,50,83,62,81,70
2021-03,65,17,51,56,61,36,33,74,60,61,61
2021-04,66,26,40,52,50,36,56,89,67,65,61
2021-05,62,20,31,44,48,31,35,66,56,65,56
2021-06,60,21,31,45,47,33,70,70,64,72,61
2021-07,75,0,30,45,44,36,56,74,63,75,68
2021-08,73,22,39,48,50,36,63,75,64,74,72
2021-09,71,0,36,49,51,32,48,65,58,52,71
2021-10,73,31,50,49,54,37,34,66,59,64,71
2021-11,75,22,45,46,50,34,44,63,60,44,67
2021-12,66,22,38,39,38,33,34,63,52,54,72
2022-01,77,0,41,48,47,38,55,77,70,56,100
2022-02,87,28,44,58,67,43,51,79,62,75,87
2022-03,84,44,51,65,73,43,42,83,63,68,79
2022-04,78,31,40,61,76,42,34,84,68,76,82
2022-05,77,27,44,59,58,36,48,79,71,74,75
2022-06,80,22,57,51,50,38,39,83,77,61,77
2022-07,84,31,36,56,42,46,37,93,89,89,96
2022-08,88,26,44,56,50,45,43,95,80,74,90
2022-09,81,27,30,62,49,42,47,86,79,71,88
2022-10,93,32,36,58,54,43,45,85,81,68,86
2022-11,86,27,51,54,51,38,46,77,73,68,83
2022-12,77,30,33,42,33,37,34,73,69,60,73
2023-01,84,18,63,50,43,40,57,88,86,76,85
2023-02,100,45,80,64,60,42,59,99,82,67,86
2023-03,95,28,86,63,63,41,52,89,68,69,78
2023-04,92,22,100,58,51,42,64,86,84,87,87
2023-05,88,43,99,56,56,41,63,83,76,80,83
2023-06,89,38,70,55,53,42,61,84,70,75,80
2023-07,91,33,74,53,47,44,66,83,87,76,89
2023-08,88,40,59,57,52,45,83,84,74,68,86
2023-09,88,56,52,63,56,39,68,82,65,59,70
2023-10,84,38,47,58,57,42,43,81,100,70,79
2023-11,85,54,52,73,52,40,57,100,81,78,76
2023-12,74,31,43,43,35,39,36,71,94,82,79
2024-01,87,24,44,50,41,36,66,80,88,66,83
